arrived,density,departed,entered,id,laneChangedFrom,laneChangedTo,laneDensity,left,occupancy,overlapTraveltime,sampledSeconds,speed,speedRelative,timeLoss,traveltime,waitingTime,vclass,preloading,begin,end
0.0,1.92,0.0,3.0,:4225436950_1,0.0,0.0,1.92,3.0,0.59,1.53,4.59,8.47,1.02,1.98,0.98,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.33,0.0,1.0,:4264621815_0,0.0,0.0,0.33,1.0,0.11,0.96,0.96,15.43,1.11,0.04,0.64,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,1.06,0.0,1.0,:4264621815_5,0.0,0.0,1.06,1.0,0.32,3.11,3.11,4.76,0.34,2.01,2.43,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,2.97,0.0,1.0,:4279873791_0,0.0,0.0,2.97,1.0,0.08,0.24,0.24,21.89,0.93,0.0,0.01,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:4282216999_3,0.0,0.0,0.21,1.0,0.07,0.59,0.59,24.23,0.87,0.0,0.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.18,0.0,1.0,:4282216999_4,0.0,0.0,0.18,1.0,0.06,0.52,0.52,27.72,1.0,0.01,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:4282217004_3,0.0,0.0,0.21,1.0,0.07,0.6,0.6,24.02,0.86,0.01,0.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.19,0.0,1.0,:4282217004_4,0.0,0.0,0.19,1.0,0.06,0.54,0.54,26.95,0.97,0.02,0.35,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.65,0.0,1.0,:4377720374_5,0.0,0.0,0.65,1.0,0.21,1.77,1.77,8.0,0.96,0.13,1.13,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,1.94,0.0,4.0,:4380645896_1,0.0,0.0,1.94,4.0,0.59,1.13,4.53,11.3,0.59,1.33,0.7,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.51,0.0,2.0,:4642095799_5,0.0,0.0,0.51,2.0,0.17,0.82,1.63,19.3,0.99,0.08,0.56,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.49,0.0,2.0,:4739855361_5,0.0,0.0,0.49,2.0,0.16,0.71,1.42,20.54,0.92,0.16,0.47,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.23,0.0,1.0,:4898107897_0,0.0,0.0,0.23,1.0,0.08,0.65,0.65,22.15,1.14,0.0,0.42,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.28,0.0,1.0,:4898107897_5,0.0,0.0,0.28,1.0,0.09,0.78,0.78,18.49,0.95,0.03,0.51,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.23,0.0,1.0,:5144678186_4,0.0,0.0,0.23,1.0,0.08,0.98,0.98,19.82,1.02,0.02,0.73,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.19,0.0,1.0,:5382677912_5,0.0,0.0,0.19,1.0,0.07,0.8,0.8,24.2,0.97,0.02,0.59,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.68,0.0,2.0,:5427469839_1,0.0,0.0,0.68,2.0,0.24,1.28,2.57,13.71,0.51,1.18,0.94,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.59,0.0,2.0,:5427469850_0,0.0,0.0,0.59,2.0,0.2,0.87,1.75,17.03,0.61,0.58,0.6,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.45,0.0,2.0,:5793913726_5,0.0,0.0,0.45,2.0,0.15,0.64,1.28,22.5,1.01,0.04,0.42,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.37,0.0,2.0,:597264656_1,0.0,0.0,0.37,2.0,0.12,0.52,1.05,27.56,0.99,0.01,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.43,0.0,2.0,:597264656_2,0.0,0.0,0.43,2.0,0.14,0.61,1.22,23.65,0.85,0.05,0.4,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.37,0.0,2.0,:597264661_1,0.0,0.0,0.37,2.0,0.12,0.53,1.06,27.25,0.98,0.03,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.3,0.0,1.0,:597264661_2,0.0,0.0,0.3,2.0,0.09,0.62,0.85,23.31,0.84,0.05,0.38,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.61,0.0,2.0,:6433557864_0,0.0,0.0,0.61,2.0,0.2,0.86,1.73,16.74,0.86,0.27,0.57,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,1.18,0.0,4.0,:6433557864_5,0.0,0.0,1.18,4.0,0.39,0.83,3.34,17.29,0.89,0.24,0.54,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,2.48,0.0,3.0,:6439626398_0,0.0,0.0,2.48,3.0,0.76,1.88,5.64,6.7,1.02,2.49,1.19,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,1.67,0.0,3.0,:6439626401_2,0.0,0.0,1.67,3.0,0.61,2.27,6.8,8.2,0.8,2.6,1.65,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:655515312_1,0.0,0.0,0.22,1.0,0.07,0.61,0.61,23.3,0.84,0.03,0.4,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.18,0.0,1.0,:655515312_2,0.0,0.0,0.18,1.0,0.06,0.52,0.52,27.74,1.0,0.01,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.83,0.0,1.0,:7371496882_1,0.0,0.0,0.83,1.0,0.29,2.33,2.33,6.18,0.45,1.31,1.41,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.47,0.0,1.0,:7371496882_2,0.0,0.0,0.47,1.0,0.15,1.32,1.32,10.91,0.79,0.37,0.9,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:7371569199_3,0.0,0.0,0.21,1.0,0.07,0.59,0.59,24.28,0.87,0.0,0.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.18,0.0,1.0,:7371569199_4,0.0,0.0,0.18,1.0,0.06,0.51,0.51,28.07,1.01,0.0,0.33,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:7371569225_3,0.0,0.0,0.22,1.0,0.07,0.61,0.61,23.61,0.85,0.02,0.4,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.19,0.0,1.0,:7371569225_4,0.0,0.0,0.19,1.0,0.06,0.53,0.53,27.42,0.99,0.02,0.35,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:7371569233_3,0.0,0.0,0.22,1.0,0.07,0.62,0.62,23.27,0.84,0.03,0.4,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.18,0.0,1.0,:7371569233_4,0.0,0.0,0.18,1.0,0.06,0.51,0.51,28.06,1.01,0.0,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:7371569237_3,0.0,0.0,0.22,1.0,0.07,0.61,0.61,23.44,0.84,0.02,0.4,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.19,0.0,1.0,:7371569237_4,0.0,0.0,0.19,1.0,0.06,0.53,0.53,27.08,0.97,0.02,0.35,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.26,0.0,1.0,:7371569244_3,0.0,0.0,0.26,1.0,0.07,0.45,0.45,23.95,0.86,0.01,0.24,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:7371569244_4,0.0,0.0,0.22,1.0,0.06,0.38,0.38,27.98,1.01,0.0,0.21,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:7371569249_3,0.0,0.0,0.21,1.0,0.07,0.6,0.6,24.13,0.87,0.01,0.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.18,0.0,1.0,:7371569249_4,0.0,0.0,0.18,1.0,0.06,0.52,0.52,28.02,1.01,0.0,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.24,0.0,1.0,:7623414747_0,0.0,0.0,0.24,1.0,0.08,0.68,0.68,21.24,0.96,0.03,0.44,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.27,0.0,1.0,:7623414747_5,0.0,0.0,0.27,1.0,0.09,0.76,0.76,19.14,0.86,0.03,0.49,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.56,0.0,2.0,:7757367296_1,0.0,0.0,0.56,2.0,0.18,0.79,1.59,18.27,0.66,0.55,0.53,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.43,0.0,1.0,:7791996394_5,0.0,0.0,0.43,1.0,0.14,1.2,1.2,12.0,0.86,0.07,0.78,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,6.25,0.0,1.0,:7801455686_0,0.0,0.0,6.25,1.0,0.18,0.58,0.58,9.14,0.55,0.37,0.04,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,7.04,0.0,1.0,:7801455686_1,0.0,0.0,7.04,1.0,0.19,0.59,0.59,8.92,0.54,0.05,0.03,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.38,0.0,1.0,:8007895220_0,0.0,0.0,0.38,1.0,0.12,0.87,0.87,14.44,1.06,0.47,0.52,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.45,0.0,2.0,:818826991_2,0.0,0.0,0.45,2.0,0.17,1.01,2.02,19.76,1.02,0.05,0.76,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.63,0.0,1.0,:8390873037_5,0.0,0.0,0.63,1.0,0.2,1.77,1.77,8.14,0.98,0.1,1.17,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:851265442_0,0.0,0.0,0.21,1.0,0.08,0.91,0.91,21.39,0.96,0.03,0.68,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.23,0.0,1.0,:851265467_2,0.0,0.0,0.23,1.0,0.09,1.01,1.01,19.27,0.87,0.04,0.75,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.19,0.0,1.0,:864977136_1,0.0,0.0,0.19,1.0,0.07,0.83,0.83,23.85,0.95,0.04,0.62,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.18,0.0,1.0,:8714739765_0,0.0,0.0,0.18,1.0,0.07,0.77,0.77,24.56,0.98,0.01,0.57,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.32,0.0,1.0,:8764511983_5,0.0,0.0,0.32,1.0,0.11,0.93,0.93,15.66,1.13,0.04,0.61,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.39,0.0,1.0,:8916608621_1,0.0,0.0,0.39,1.0,0.11,0.79,0.79,15.0,0.54,0.42,0.44,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.53,0.0,1.0,:8916608631_0,0.0,0.0,0.53,1.0,0.15,1.1,1.1,10.81,0.52,0.67,0.68,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.41,0.0,1.0,:8916608632_1,0.0,0.0,0.41,1.0,0.13,1.0,1.0,13.13,0.47,0.59,0.62,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:8941823474_0,0.0,0.0,0.22,1.0,0.07,0.61,0.61,23.66,0.85,0.02,0.4,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.18,0.0,1.0,:8941823474_5,0.0,0.0,0.18,1.0,0.06,0.52,0.52,27.87,1.0,0.01,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.26,0.0,1.0,:8941872734_0,0.0,0.0,0.26,1.0,0.07,0.45,0.45,23.95,0.86,0.01,0.24,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:8941872734_5,0.0,0.0,0.22,1.0,0.06,0.39,0.39,27.98,1.01,0.0,0.21,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:8941872737_0,0.0,0.0,0.21,1.0,0.07,0.59,0.59,24.26,0.87,0.0,0.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.18,0.0,1.0,:8941872737_5,0.0,0.0,0.18,1.0,0.06,0.52,0.52,27.78,1.0,0.01,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:8941872740_0,0.0,0.0,0.22,1.0,0.07,0.62,0.62,23.12,0.83,0.03,0.41,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.19,0.0,1.0,:8941872740_5,0.0,0.0,0.19,1.0,0.06,0.53,0.53,27.18,0.98,0.02,0.35,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.25,0.0,1.0,:907484109_0,0.0,0.0,0.25,1.0,0.08,0.59,0.59,21.74,1.12,0.01,0.36,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.71,0.0,1.0,:907484109_2,0.0,0.0,0.71,1.0,0.22,1.65,1.65,7.72,0.81,0.43,1.02,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.3,0.0,1.0,:907484109_3,0.0,0.0,0.3,1.0,0.09,0.71,0.71,18.2,0.94,0.04,0.43,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.23,0.0,1.0,:907485206_3,0.0,0.0,0.23,1.0,0.08,0.65,0.65,22.14,1.14,0.0,0.43,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.27,0.0,1.0,:907485206_4,0.0,0.0,0.27,1.0,0.09,0.77,0.77,18.9,0.97,0.02,0.5,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,4.56,0.0,1.0,:907485687_0,0.0,0.0,4.56,1.0,0.15,0.48,0.48,11.18,0.8,0.03,0.03,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:907487156_3,0.0,0.0,0.21,1.0,0.08,0.9,0.9,21.54,1.11,0.03,0.67,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.53,0.0,2.0,:907487156_4,0.0,0.0,0.53,2.0,0.2,1.14,2.27,17.09,0.88,0.1,0.84,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:907487938_4,0.0,0.0,0.21,1.0,0.08,0.9,0.9,21.68,1.12,0.02,0.66,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.24,0.0,1.0,:907487938_10,0.0,0.0,0.24,1.0,0.09,1.03,1.03,18.8,0.97,0.03,0.77,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.37,0.0,2.0,:921667828_1,0.0,0.0,0.37,2.0,0.12,0.53,1.05,27.54,0.99,0.01,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:921667828_2,0.0,0.0,0.22,1.0,0.07,0.62,0.62,23.43,0.84,0.04,0.41,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.25,0.0,1.0,:9388333715_2,0.0,0.0,0.25,1.0,0.08,0.73,0.73,20.16,1.04,0.0,0.48,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.15,0.0,1.0,:9452505313_3,0.0,0.0,0.15,1.0,0.05,0.56,0.56,30.97,1.11,0.01,0.4,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.71,0.0,4.0,:9452505313_4,0.0,0.0,0.71,4.0,0.25,0.66,2.66,26.25,0.95,0.05,0.47,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:96070511_7,0.0,0.0,0.22,1.0,0.08,1.04,1.04,19.66,1.01,0.03,0.79,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.27,0.0,1.0,:96070512_2,0.0,0.0,0.27,1.0,0.09,0.77,0.77,18.95,0.97,0.05,0.51,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.58,0.0,1.0,:9767594031_0,0.0,0.0,0.58,1.0,0.19,1.67,1.67,8.74,0.75,0.81,1.07,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.92,0.0,1.0,:9767594031_1,0.0,0.0,0.92,1.0,0.29,2.11,2.11,5.98,0.91,1.01,1.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.62,0.0,3.0,:9854082117_0,0.0,0.0,0.62,3.0,0.2,0.53,1.59,25.5,0.92,0.04,0.34,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.17,0.0,1.0,:9854082117_5,0.0,0.0,0.17,1.0,0.05,0.44,0.44,30.56,1.1,0.02,0.28,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.22,0.0,1.0,:9990795010_0,0.0,0.0,0.22,1.0,0.07,0.62,0.62,23.39,0.94,0.01,0.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:9990798718_0,0.0,0.0,0.21,1.0,0.07,0.6,0.6,24.02,0.96,0.02,0.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.21,0.0,1.0,:9990798722_0,0.0,0.0,0.21,1.0,0.07,0.6,0.6,23.83,0.95,0.03,0.39,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.06,1.0,0.0,-1029426905,0.0,0.0,0.06,0.0,0.03,1073.87,368.0,20.35,0.92,15.96,1073.62,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,0.33,0.0,1.0,-1059057003#1,0.0,0.0,0.33,1.0,0.15,4.94,4.94,11.05,0.4,2.91,4.61,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
0.0,1.43,0.0,4.0,-1074310562,0.0,0.0,1.43,4.0,0.44,0.9,3.59,14.91,0.54,0.84,0.51,0.0,LMV_passenger,False,2025-03-24 06:15:00,2025-03-24 06:20:00
